import time: self [us] | cumulative | imported package
import time:       838 |        838 |                       pandas.core.tools
import time:      1009 |       1846 |                     pandas.core.tools.timedeltas
import time:      1764 |       5280 |                   pandas.core.indexes.datetimelike
import time:       842 |        842 |                   pandas.core.tools.times
import time:      1970 |       8091 |                 pandas.core.indexes.datetimes
import time:      5055 |       5055 |                   pandas.core.indexes.multi
import time:      1132 |       1132 |                   pandas.core.indexes.timedeltas
import time:      1917 |       8104 |                 pandas.core.indexes.interval
import time:     16736 |      16736 |                 pandas.core.indexes.period
import time:      1430 |      61633 |               pandas.core.indexes.api
import time:      3447 |      67356 |             pandas.core.indexing
import time:       941 |        941 |             pandas.core.sample
import time:       782 |        782 |             pandas.core.array_algos.replace
import time:      2186 |       2186 |                 pandas.core.internals.blocks
import time:       789 |       2974 |               pandas.core.internals.api
import time:      1409 |       1409 |                 pandas.core.internals.base
import time:      1339 |       1339 |                   pandas.core.internals.ops
import time:      3120 |       4458 |                 pandas.core.internals.managers
